entry_id,asset_id,source_field
entry_29f20182fde37f674392,asset_b7e6a8a9ac45903a0e40,DVIDS Video ID
entry_29f20182fde37f674392,asset_d8e5687dc870892d0b11,PDF | Image Link
entry_2baf1571ee82a3090f22,asset_fb919d953dce38d2f24c,DVIDS Video ID
entry_2cafcb21386e70ab1c6c,asset_ef6784c1c6ae90528f7b,DVIDS Video ID
entry_2d33c164438ce52c00df,asset_df1c7dccaf35b1128577,DVIDS Video ID
entry_311c1f094b0451813752,asset_752f2613d9284df8f6a9,DVIDS Video ID
entry_3253a2a67e81f67c03ba,asset_cb59731fd6c0bff8fdd8,DVIDS Video ID
entry_32f79bc1bc61cc547721,asset_8e4cbdbd3583feba9c9f,PDF | Image Link
entry_33074b8ba49fe1454820,asset_44ab055b332029724ee6,DVIDS Video ID
entry_335997e4de6cc3e8559f,asset_cf19931bc3e5efda37dc,PDF | Image Link
entry_3392aca15255c9d5bd5d,asset_1e63919cc6c3daf43326,PDF | Image Link
entry_3417720dabb446f7456b,asset_819e725592d1ba7928e0,PDF | Image Link
entry_3445e6ec27fe263d4195,asset_3bac5ba8d435df9b3fc0,DVIDS Video ID
entry_348a45b88d6be099e6da,asset_ea1e7c4a981bdd8b1ab2,PDF | Image Link
entry_350c329b0aeb535daccd,asset_dc9f45a9ec6feb00256a,PDF | Image Link
entry_350d544f93f493cc5fca,asset_303ad110cb5fa8b403b5,PDF | Image Link
entry_35ab41c4b938ab305040,asset_b279eac8e49cf4fece98,PDF | Image Link
entry_3618a72ec55163a0a1c9,asset_b246c782b16be1686fe7,PDF | Image Link
entry_366f999e54d0354907b1,asset_09001c140b97a5db2f37,PDF | Image Link
entry_38226e927ee56e7ee162,asset_3573e64542b2ee2052f3,DVIDS Video ID
entry_3916963e4be0d4cdff24,asset_19d8e1d503211c84da48,PDF | Image Link
entry_3919f2504491b09c0a70,asset_e9207923ce6dbb8c6d50,DVIDS Video ID
entry_3a7efbcac6dc7269dd08,asset_7a47542be1be6d1fb352,PDF | Image Link
entry_3aeaa5ffd176e2cbf0f1,asset_6cbde76b3a5a28576a49,DVIDS Video ID
entry_3b76ccdf99bb73fed648,asset_cbb0859d18a9c5ee638d,DVIDS Video ID
entry_3ba530e4f0af5b279c49,asset_15d23b5f88df64fa3728,PDF | Image Link
entry_3beffbe3fdceae6cb046,asset_ccd932b4f40e8de71a73,PDF | Image Link
entry_3cd8ea001a3d4495ea96,asset_b60b84a66715204a4506,PDF | Image Link
entry_3ed72aececa7176d582e,asset_b17d8e2a1dcefb6c0a6d,DVIDS Video ID
entry_3f3439a6ea8d61e81c1e,asset_d9051a367ad0fcd3efa6,DVIDS Video ID
entry_3f3d83b24f72d1eb4936,asset_954d1e1944bc6d17c10f,PDF | Image Link
entry_4009abaf84512b8f7524,asset_fb6689598a0f627ce90f,DVIDS Video ID
entry_40842f0011723e9f8543,asset_662eb9fef6e109d2f26c,PDF | Image Link
entry_41154c5f9d18591b265f,asset_b0fa7140b0776b42a2a5,PDF | Image Link
