pairing_id,source_entry_id,target_entry_id,source_field,raw_reference,resolution_rule
pair_220db90a09a2fb96f968,entry_8ab7c138316f202a6888,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_2244cd31025ce1421066,entry_49d05ba238488efc60e4,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_24a401f4487c02785a15,entry_0c2f003ad8b1da78404c,entry_3916963e4be0d4cdff24,PDF Pairing,FBI Photo B011,exact_normalized_label
pair_24d047e2668add6e15ef,entry_3916963e4be0d4cdff24,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_2563e5af4f58f4a2a393,entry_9fbc1e51d5b5423e2a92,entry_0d8fcb89c8fb00abccfa,PDF Pairing,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",exact_normalized_label
pair_267dbc7019168c754a50,entry_f5508edbbdcb16873d38,entry_348a45b88d6be099e6da,PDF Pairing,EOP-UAP-D001,exact_normalized_label
pair_26c97a76d6a7f8e89ae3,entry_f6058963dd5730e81f85,entry_0b40f110c793d283da09,Video Pairing,PR-032,unique_portal_pr_shorthand
pair_278fe0895bfe190f6db3,entry_0177dbb4d82c0471a1d9,entry_d67799861ef3e5a9d2d5,Video Pairing,DOW-UAP-PR118,exact_normalized_label
pair_28010c17ebefc9793761,entry_0c2f003ad8b1da78404c,entry_17c16402f5c3ee0a6270,PDF Pairing,FBI Photo B018,exact_normalized_label
pair_281b753dab08aa36110e,entry_0d8fcb89c8fb00abccfa,entry_350c329b0aeb535daccd,PDF Pairing,FBI Photo B022,exact_normalized_label
pair_282c4d47764ab2ff06d7,entry_fc345ab75eb77a55e896,entry_0b40f110c793d283da09,Video Pairing,PR-032,unique_portal_pr_shorthand
pair_2885817713fef1353ec5,entry_d949d1cec8d432e380e5,entry_cde9a077250c1a081632,Video Pairing,DOW-UAP-PR117,exact_normalized_label
pair_2aad42ad2dc972dd1682,entry_0c2f003ad8b1da78404c,entry_ad59af9d44615688a44e,PDF Pairing,FBI Photo B015,exact_normalized_label
pair_2b1d5330715e2dc57992,entry_a27c40e4c79ca9a1f333,entry_6d0105d0e5e08b046043,Video Pairing,DOW-UAP-PR126,exact_normalized_label
pair_2d16dfcc045c80906330,entry_0d8fcb89c8fb00abccfa,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_2db64128a101c48b350d,entry_0c2f003ad8b1da78404c,entry_dfc2cf450b77b52a9573,PDF Pairing,FBI Photo B009,exact_normalized_label
pair_2fca69bd68cff77794fa,entry_25f0a77c853be9248d79,entry_29f20182fde37f674392,PDF Pairing,DoW-UAP-D023,exact_normalized_label
pair_2fce0f1b879d1c23a70f,entry_09ff9a4916893c28f38d,entry_5168599f58ec0ad704c0,Video Pairing,FBI-UAP-D017,exact_normalized_label
pair_30e580b3b55948934afb,entry_fb1c683a5adb0cb2109e,entry_cf917ee3d628d7d02903,PDF Pairing,FBI-UAP-D020,exact_normalized_label
pair_31730514fa128cd07eb4,entry_3beffbe3fdceae6cb046,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_31bd665d195937e9da23,entry_0c2f003ad8b1da78404c,entry_45480f17f8b90336f8f3,PDF Pairing,FBI Photo B020,exact_normalized_label
pair_31d9ab47fcd8f3f63673,entry_f2a248d43130809d89e8,entry_d949d1cec8d432e380e5,Video Pairing,DOW-UAP-PR119,exact_normalized_label
pair_3269b18afc6bb1df31d9,entry_b7720fdd1edd0cdc6a6c,entry_5720d3b0c9a171cd022c,PDF Pairing,FBI-UAP-D040,exact_normalized_label
pair_32d15ab9d8a2199be3dc,entry_0c2f003ad8b1da78404c,entry_5bec9719505f4a1b3221,PDF Pairing,FBI Photo B016,exact_normalized_label
pair_32d2705ad29f9bb91cae,entry_0d8fcb89c8fb00abccfa,entry_b50b28200c7906bc24d8,PDF Pairing,FBI Photo A003,exact_normalized_label
pair_33885740fa731b74af95,entry_a54b878d89a401a65a0c,entry_821fe75f6dbdedc93deb,Video Pairing,NASA-UAP-D026,exact_normalized_label
pair_344822b8b57e6a688ecd,entry_6ba015e7d53a2d1e241e,entry_276d6b5ee0373cb99514,PDF Pairing,DOW-UAP-D081,exact_normalized_label
pair_34b14c672d256aab947e,entry_dfc2cf450b77b52a9573,entry_0d8fcb89c8fb00abccfa,PDF Pairing,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",exact_normalized_label
pair_379452dfea4ee31dc3f2,entry_e13b616d3cdf57289fff,entry_a935d8785a33c0bc13e3,PDF Pairing,DOW-UAP-D090,exact_normalized_label
pair_37d4826bcb108ad744c1,entry_0c2f003ad8b1da78404c,entry_bde92365628e37026666,PDF Pairing,FBI Photo B005,exact_normalized_label
pair_3823040d6bf8f7386ed9,entry_9fbc1e51d5b5423e2a92,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_383fe597cc5b81f5fdb7,entry_1dcd06f090c48b04303c,entry_3aeaa5ffd176e2cbf0f1,Video Pairing,DOW-UAP-PR106,exact_normalized_label
pair_3ae159e7db071c0568b5,entry_9d8501424d687341a5b1,entry_0d8fcb89c8fb00abccfa,PDF Pairing,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",exact_normalized_label
pair_3c20deeb94dceef357b2,entry_0d8fcb89c8fb00abccfa,entry_3916963e4be0d4cdff24,PDF Pairing,FBI Photo B011,exact_normalized_label
pair_3cfbd266e4deb2cca1e1,entry_09ff9a4916893c28f38d,entry_c167f46c1e3ad3bd4499,Video Pairing,FBI-UAP-D023,exact_normalized_label
pair_3dd471ab22337b0f0575,entry_fb1c683a5adb0cb2109e,entry_25b25df82312e3c7b012,PDF Pairing,FBI-UAP-D016,exact_normalized_label
pair_3f7570038780044c60f6,entry_0b40f110c793d283da09,entry_fc345ab75eb77a55e896,Video Pairing,PR-033,unique_portal_pr_shorthand
pair_40ed38ff741c3f9503cb,entry_479e3b24e7790c394913,entry_0d8fcb89c8fb00abccfa,PDF Pairing,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",exact_normalized_label
pair_4102c8360b535a47fca9,entry_dd10782452e234882fc7,entry_6b9bd37f1f553731dd1d,Video Pairing,FBI-UAP-PR007,exact_normalized_label
pair_418550752f5d8237551a,entry_ed4a23a9116382933633,entry_ba254852d6edaaf830a7,PDF Pairing,FBI-UAP-026,documented_alias
pair_42153d5e1e2b71250fc7,entry_aad00059a992a38a211a,entry_f1b1e13bad66e55117c2,PDF Pairing,FBI-UAP-D039,exact_normalized_label
pair_42356cf5d6627d390ff1,entry_7aeb2f7fe07b10bdcecc,entry_f329ea84b08b78ca5863,Video Pairing,PR-036,unique_portal_pr_shorthand
pair_45d7ffc5e9bbece6308f,entry_f14d03b8c9269830be55,entry_cde9a077250c1a081632,Video Pairing,DOW-UAP-PR117,exact_normalized_label
pair_466146c505d5c49bc2c3,entry_87ce4cd66bf4d90fb602,entry_895a0a20795a2baef864,Video Pairing,PR-023,unique_portal_pr_shorthand
pair_4729ac3bb559954be165,entry_0177dbb4d82c0471a1d9,entry_3919f2504491b09c0a70,Video Pairing,DOW-UAP-PR121,exact_normalized_label
pair_477fcee6951cc128c171,entry_5c366c9f409feb825372,entry_0b40f110c793d283da09,Video Pairing,PR-032,unique_portal_pr_shorthand
pair_48d59fdf9f8bc1446ded,entry_479e3b24e7790c394913,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_4969bedfff10c34009d0,entry_738bb787bdf0381c5ae9,entry_94f6e2769dc5e3929a9f,Video Pairing,PR-035,unique_portal_pr_shorthand
pair_49a2e49ad32b9e2bb983,entry_0c2f003ad8b1da78404c,entry_479e3b24e7790c394913,PDF Pairing,FBI Photo B017,exact_normalized_label
pair_49d16a7611fc2ea52b79,entry_cf917ee3d628d7d02903,entry_fb1c683a5adb0cb2109e,PDF Pairing,DOW-UAP-D080,exact_normalized_label
pair_4a07caaf6b78cddcddcb,entry_09ff9a4916893c28f38d,entry_fb1c683a5adb0cb2109e,Video Pairing,DOW-UAP-D080,exact_normalized_label
pair_4ccc952c053df4af1152,entry_14d0cfcf8c9f0605cd17,entry_29ec395b64313b72fbd7,Video Pairing,NASA-UAP-D028,exact_normalized_label
pair_4cf78bf0ffed9229d89a,entry_0d8fcb89c8fb00abccfa,entry_49d05ba238488efc60e4,PDF Pairing,FBI Photo B021,exact_normalized_label
pair_4dbc1193d5d1f346a459,entry_047251b1c03ba39746e3,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_4dcc151285fd9d29113d,entry_f2a248d43130809d89e8,entry_3919f2504491b09c0a70,Video Pairing,DOW-UAP-PR121,exact_normalized_label
pair_4ddca5776de2faad2035,entry_cde9a077250c1a081632,entry_0177dbb4d82c0471a1d9,Video Pairing,DOW-UAP-PR122,exact_normalized_label
pair_4ec35d55e765b787fad4,entry_276d6b5ee0373cb99514,entry_09ff9a4916893c28f38d,PDF Pairing,Western US Event,exact_normalized_label
pair_4f219752924f9ac9af45,entry_d67799861ef3e5a9d2d5,entry_cde9a077250c1a081632,Video Pairing,DOW-UAP-PR117,exact_normalized_label
pair_4f3d1378ee29e6dd1ee6,entry_09ff9a4916893c28f38d,entry_4dd49b67a6d0d18cc584,Video Pairing,FBI-UAP-D022,exact_normalized_label
pair_4fab871000366bdbb344,entry_c68a27411ae487e7d805,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_512ab29dcf905cec6035,entry_98e071cb0533580e182a,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_5174c87f17854dd9a172,entry_f7a1c2e2a804ec5e3f26,entry_88569398dbea5f1e98ed,PDF Pairing,DOW-UAP-D091,exact_normalized_label
pair_525fc45fa948b90c305c,entry_8ab7c138316f202a6888,entry_0d8fcb89c8fb00abccfa,PDF Pairing,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",exact_normalized_label
pair_52e41bb1f9a57ae58ef7,entry_0d8fcb89c8fb00abccfa,entry_8cbd9ba356f930b8fa15,PDF Pairing,FBI Photo A001,exact_normalized_label
pair_53422413682da65399d7,entry_ba254852d6edaaf830a7,entry_ed4a23a9116382933633,PDF Pairing,FBI-UAP-027,documented_alias
pair_54cbd415b459b70cc691,entry_d67799861ef3e5a9d2d5,entry_3919f2504491b09c0a70,Video Pairing,DOW-UAP-PR121,exact_normalized_label
pair_54ed8e297e58cb69a4e6,entry_cf917ee3d628d7d02903,entry_09ff9a4916893c28f38d,PDF Pairing,Western US Event,exact_normalized_label
